"Regen_Plot","Fire","Year.of.Fire","survey_years_post","Easting","Northing","SHRUB","dominant_shrub_ht_cm"
"MOO1200481","MOONLIGHT",2007,5,699941.1,4449574.04,95,145
"MOO1200520","MOONLIGHT",2007,5,695871.57,4449977.23,65,60
"MOO1200521","MOONLIGHT",2007,5,695671.83,4449975.47,95,40
"MOO1200522","MOONLIGHT",2007,5,695474.79,4449974.02,73,50
"MOO1200523","MOONLIGHT",2007,5,695279.1,4449971.33,45,90
"MOO1200531","MOONLIGHT",2007,5,700363.37,4449979.73,90,160
"MOO1200544","MOONLIGHT",2007,5,695667.09,4450171.65,85,85
"MOO1200545","MOONLIGHT",2007,5,695469.65,4450174.98,95,130
"MOO1200547","MOONLIGHT",2007,5,695264.73,4450174.34,30,40
"MOO1200575","MOONLIGHT",2007,5,700667.7,4450580.1,89,80
"MOO1200607","MOONLIGHT",2007,5,700666.57,4450774.97,98,180
"MOO1200986","MOONLIGHT",2007,5,702064.34,4453777.11,16,90
"MOO1200998","MOONLIGHT",2007,5,700761.27,4453586.59,50,50
"MOO1201680","MOONLIGHT",2007,5,700672.53,4455771.89,40,7
"MOO1201714","MOONLIGHT",2007,5,700160.11,4455983.05,90,90
"MOO1201715","MOONLIGHT",2007,5,693959.39,4455776.02,90,100
"MOO1201725","MOONLIGHT",2007,5,700873.68,4456376.54,70,45
"MOO1201759","MOONLIGHT",2007,5,699362.17,4456382.47,35,75
"MOO1201777","MOONLIGHT",2007,5,699367.35,4456582.79,60,10
"MOO1201795","MOONLIGHT",2007,5,699165.46,4456783.37,15,50
"MOO1201800","MOONLIGHT",2007,5,698563.07,4456783.51,1,70
"MOO1201936","MOONLIGHT",2007,5,701068.99,4458573.35,28,250
"MOO1201938","MOONLIGHT",2007,5,700671.28,4458577.73,53,70
"MOO1201959","MOONLIGHT",2007,5,700068.81,4458771.54,35,10
"MOO1202104","MOONLIGHT",2007,5,701467.15,4460382.56,0,NA
"MOO1202107","MOONLIGHT",2007,5,700872.77,4460376.78,6,60
"MOO1202124","MOONLIGHT",2007,5,701260.26,4460566.08,42,65
"PNP1000007","PENDOLA",1999,11,657522.22,4365482.02,25,300
"PNP1000010","PENDOLA",1999,11,658523.35,4365534.88,15,100
"PNP1000015","PENDOLA",1999,11,658322.99,4365727.61,27,400
"PNP1000016","PENDOLA",1999,11,658513.49,4365732.64,44,250
"PNP1000031","PENDOLA",1999,11,658463.87,4367308.14,32,250
"PNP1000038","PENDOLA",1999,11,659048.78,4367744.7,78,300
"PNP1110038","PENDOLA",1999,12,657017.08,4363915.27,98,250
"PNP1110098","PENDOLA",1999,12,657983.99,4364748.83,98,200
"PNP1110123","PENDOLA",1999,12,656980.28,4365113.08,55,250
"PNT1000012","PENDOLA",1999,11,661895.98,4367869.14,60,400
"PNT1000013","PENDOLA",1999,11,662087.42,4367880.46,8,350
"PNT1000018","PENDOLA",1999,11,661084.64,4368046.13,80,350
"PNT1000118","PENDOLA",1999,11,661614.31,4370065.51,65,350
"PNT1000135","PENDOLA",1999,11,660003.19,4370608.6,38,350
"PNT1100040","PENDOLA",1999,12,662814.38,4370104.81,20,300
"PNT1100139","PENDOLA",1999,12,660435.7,4369223.37,90,150
"PWR0900027","POWER",2004,5,746429.88,4266839.48,41,85
"PWR0900033","POWER",2004,5,746439.99,4266641.4,69,190
"PWR0900034","POWER",2004,5,746636.93,4266646.83,36,160
"PWR0900041","POWER",2004,5,745041.97,4266397.25,15,70
"PWR0900045","POWER",2004,5,737041.77,4265935.99,39,230
"PWR0900046","POWER",2004,5,737239.01,4265942.83,20,30
"PWR0900047","POWER",2004,5,737441.96,4265949.37,30,30
"PWR0900051","POWER",2004,5,743046.35,4266130.77,60,65
"PWR0900052","POWER",2004,5,743245.2,4266135.31,2,60
"PWR0900053","POWER",2004,5,744247.11,4266174.66,50,NA
"PWR0900055","POWER",2004,5,744844.82,4266192.05,57,150
"PWR0900057","POWER",2004,5,735445.47,4265682.85,17,120
"PWR0900058","POWER",2004,5,735643.82,4265690.54,25,40
