"Regen_Plot","Fire","Year.of.Fire","survey_years_post","SHRUB","dominant_shrub_ht_cm","X","Y","normal_annual_precip","tmax","tmin","tmean","elev","tpi100","tpi500","tpi2000","tpi5000","twi","slope_dem","aspect_dem","rad_winter","rad_winter_spring","rad_spring","rad_spring_summer","rad_summer"
"PWR0900103","POWER",2004,5,15,40,-19913.9746191131,54337.9728974001,1272.0675324664,17.3151042519612,5.01448251290179,11.1647932529788,1703.29703930463,0.517929679083743,15.7793302773002,104.551298616852,101.326306839991,5.68743524765171,15.718192171569,285.000947235029,2666.71976720215,3798.7401704369,6389.07630769208,8766.21421336991,9637.20088275672
"PWR0900115","POWER",2004,5,5,200,-25308.8347789561,54134.299460785,1203.55554277,19.2995510494305,5.16903755378661,12.2342944731074,1433.81205016234,-1.02282234396316,-18.0585078826825,-25.0411618957593,-27.6495984264791,8.12997129405314,22.7835577974035,143.096723098133,4788.85115479998,5920.27937365004,7945.50761831449,9177.67208478858,9353.2967844492
"PWR0900118","POWER",2004,5,40,40,-24712.5234249962,54142.1865540966,1202.79130082173,19.8817517020785,5.28969715278972,12.5857242693352,1337.99239803059,-0.498343180327539,-9.9848418841216,-90.2169772378498,-113.338692399931,8.01738242599673,18.3992982755905,158.513156755018,4632.21532973955,5787.54922495448,7880.92674525604,9089.05953387562,9428.27562824793
"PWR0900119","POWER",2004,5,7,35,-24512.3451357736,54140.6058869478,1203.46734222389,19.8828415761161,5.29340551610728,12.5881234102578,1337.06297639897,0.891715406607064,-9.68153590002401,-91.9297639520096,-111.934151740664,5.60373200615948,29.2511969461237,159.174587933509,5362.27248413116,6535.46895376408,8074.76491273552,8891.82575758034,8913.74852909746
"PWR0900121","POWER",2004,5,18,30,-22313.4422713218,54139.6332649519,1224.10557947121,17.7270582958782,4.87266201001362,11.299860529125,1670.31588294851,2.15264190462849,40.855160875879,99.5266080258426,181.708203414899,5.1001565106248,26.788119541279,170.692405063059,5807.30203691959,6867.74975207393,8544.70301664129,9179.04962878778,9128.94540226988
"PWR0900122","POWER",2004,5,33,30,-21112.7023706806,54139.0692728795,1246.2443180668,17.5640562480603,4.97962811946709,11.2718423884881,1683.74083176723,-0.262213780468377,9.97527619474791,88.81252777545,150.713645446477,5.48936323744247,26.807984641873,209.849181150381,5453.52558556463,6499.9132947013,8318.5735480198,9196.04381632571,9244.05889326683
"PWR0900135","POWER",2004,5,60,30,-25512.9816858281,53937.8660789714,1191.16302495047,18.913629549476,5.12719974020657,12.0204142011225,1495.56027385236,0.580071182279293,20.0390434625875,67.9239995365513,55.6999022273837,5.26462009881628,28.1345887193378,125.975299914932,4678.65969312664,5791.20747170707,7690.72630876611,8983.68448820349,9256.0887718233
"PWR0900136","POWER",2004,5,36,240,-25115.1301486034,53945.1950521255,1191.30176358271,19.8694197329391,5.29620674970981,12.5828133125836,1340.19631835546,0.0251953209794455,-11.4008265403421,-72.3928269271991,-93.6183141188996,8.70520565452594,20.364392807545,88.9289997004744,2753.37060179131,3858.7309565014,6317.78046801637,8520.30710857435,9295.24518561078
"PWR0900141","POWER",2004,5,20,130,-23898.0309199779,53951.3953518085,1200.65465362041,19.0085377611402,5.13423027794943,12.0713843461395,1473.81234890246,-0.149495093399389,-5.22202404103682,-0.207988586466677,43.9471392239995,8.16104275739485,16.8831108781995,250.424715217547,3604.58553440394,4698.86830015853,7119.27616650667,9055.72505730962,9646.97311059579
"PWR0900143","POWER",2004,5,55,20,-22916.5781875427,53941.2272851146,1211.39805793556,18.4975776869115,5.06614813275066,11.7818631493425,1551.24747743071,-0.443893695896503,-5.54199639250988,28.605527594526,99.7731998916369,6.70972419642325,23.5933211630364,173.210307214148,5551.66650318945,6592.1282175122,8422.87508278708,9215.1099960415,9235.89762110465
"PWR0900144","POWER",2004,5,15,30,-22714.2553539902,53940.5469001462,1212.97677266062,18.5776449625551,5.11485722339465,11.846251305614,1537.84355753594,-0.0275175905671495,-0.0669096486984743,18.3059786568463,82.2256205639565,5.38469050359679,35.3372055668522,164.809899568055,6345.586763899,7246.59047161779,8640.00905316139,8842.39944228886,8573.58638196136
"PWR0900145","POWER",2004,5,15,40,-22513.9331311099,53942.2453314299,1214.59302318897,18.642722623137,5.15335128491909,11.8980370306202,1527.03339891929,0.0165821609877472,-7.44047662413102,8.90076734650246,66.3662423820205,6.56603369239554,28.406791942593,185.825663377799,5887.89134436139,6979.36098211568,8601.33335309519,9114.72083480165,8987.44995331458
"PWR0900146","POWER",2004,5,50,30,-22312.6397107794,53938.483154688,1218.43491023152,18.5897638615844,5.15470838254055,11.8722360893156,1532.83385315983,-0.998497724670097,-6.12718934262291,12.5523675822722,66.6209538764202,6.24479431736782,28.6808405995089,182.16584926382,5906.21303528738,7008.56604603239,8615.1321363302,9104.91218249296,8943.79567506446
"PWR0900148","POWER",2004,5,40,220,-21511.6410916531,53943.5110088354,1231.88641947638,18.3204853671235,5.17622620926175,11.7483555424892,1568.14306722083,0.709586528434121,-11.0632775047479,24.9767590932937,67.8032029774602,9.51933222772339,18.497888139771,203.115378239957,4846.14595376608,5989.56961126076,8033.5559261494,9298.26545657902,9546.95171888738
"PWR0900149","POWER",2004,5,2,45,-21312.4084208204,53939.9954944607,1233.50748676692,18.1677434453773,5.16169459357434,11.6647188873299,1590.28125291567,-1.17537500448536,-11.2445292572316,46.9895274325319,83.19368550028,8.09306809109178,14.8108865496756,218.361506060142,4328.16715854616,5459.33738639701,7700.8360771333,9269.29807812478,9685.25384573986
"PWR0900151","POWER",2004,5,5,30,-20909.9285313716,53940.6555161546,1236.7313333665,18.0837094399808,5.19080884338898,11.6372593027804,1598.1342051359,-0.910561215628734,15.0082093621137,50.5929064354687,73.7477236829264,5.9837210788769,32.7235574411882,129.915471198256,4862.92978678374,5957.40438303014,7967.63117034759,8922.88242954938,9070.07913981234
"PWR0900160","POWER",2004,5,0.5,30,-26714.0933154154,53738.2100592167,1177.5109356135,18.8293344103269,5.23614850299411,12.0327416701488,1510.69588335595,0.426121954871111,10.1636897336707,80.8977766985892,66.765324995727,5.84654529958749,18.7936817566774,137.504820740212,4524.71455398479,5672.33102558811,7802.13663642439,9207.23237970564,9552.36887347654
"PWR0900161","POWER",2004,5,5,200,-26512.9741419497,53743.402033262,1178.65104776006,19.0507320721489,5.2466089124394,12.1486703717035,1474.75793419494,-0.724974677121857,2.30173720631449,40.6463220421712,36.096204060349,7.15465978837802,18.9018688026738,175.789041677546,5083.9254940731,6221.80108349147,8174.63300244248,9294.75200390144,9484.69528522836
"PWR0900163","POWER",2004,5,7,150,-26112.0635156937,53737.5120580718,1180.31492578717,19.3097388986996,5.24700345728129,12.2783713000835,1434.69407573737,-0.132782257373173,-6.57699965367996,7.27256863967606,8.34354474339691,10.8624961681421,12.9322771685564,205.9333422273,4315.87416852613,5461.70166024728,7684.09608382894,9244.09962227702,9674.73155951225
"PWR0900164","POWER",2004,5,30,40,-25712.9798101381,53737.5305195763,1179.63309609648,18.9864454607191,5.16562628257257,12.0760360075616,1485.203156847,0.864401928111501,22.6048761139815,89.0870754141848,68.2078141059682,4.99126797760176,24.8260761127418,159.656273470577,5456.06378918037,6557.42332809648,8291.37139147373,9191.70179780947,9253.86229470161
"PWR0900165","POWER",2004,5,30,150,-24916.531645246,53741.3074159739,1181.00016411081,20.4086626602601,5.4366330214065,12.9226477060089,1250.70769007344,0.440640468678031,-9.66079501031959,-126.568625596514,-151.496308778769,6.66743154292367,23.4195613709178,98.0497291374306,2815.76166101097,3894.94060238359,6397.72514754067,8300.58660790434,9002.94769047827
