"FIRE_YEAR","FIRE_NAME","VB_ID","NUM_ASSESS","NIFMID_LNK","AGENCY","ICS_CODE","EDIT_DATE"
"1987","CLAVEY 87 CMPLX","1987CLAVEY_CMPLX",1,"USF05161987000226","USF","STF",0
"1987","COLD","1987COLD",1,"USF05141987000284","USF","SHF",20070604
"1987","DOE","1987DOE",1,"USF05141987000221","USF","SHF",20070604
"1987","DOG CREEK","1987DOG_CREEK",1,"NPS05001987000055","NPS","KNP",20140612
"1987","EAST","1987EAST",1,"USF05141987000293","USF","SHF",20070604
"1987","ELK LICK","1987ELK_LICK",1,"USF05051987000276","USF","KNF",20070601
"1987","EVER","1987EVER",1,"USF05161987000156","USF","STF",20041005
"1987","FAY","1987FAY",1,"USF05131987000190","USF","SQF",20080516
"1987","FISH","1987FISH",1,"USF05071987000104","USF","LPF",20080516
"1987","FLUME","1987FLUME",1,"USF05141987000290","USF","SHF",20070604
"1987","FORT COPPER","1987FORT_COPPER",2,"USF05051987000245","USF","KNF",20070313
"1987","FOUTS","1987FOUTS",1,"USF05081987000037","USF","MNF",20080516
"1987","FRIENDLY","1987FRIENDLY",1,"USF05141987000283","USF","SHF",20070604
"1987","FROG","1987FROG",1,"NPS05001987000069","NPS","YNP",20040816
"1987","GLASGOW","1987GLASGOW",2,"USF05051987000223","USF","KNF",20070601
"1987","GLEN AULIN","1987GLEN_AULIN",1,"NPS05001987000138","NPS","YNP",20040816
"1987","GULCH","1987GULCH_KNF",2,"USF05051987000304","USF","KNF",20070601
"1987","GULCH","1987GULCH_SHF",1,"USF05141987000285","USF","SHF",20070604
"1987","HALSTEAD3","1987HALSTEAD3",1,"NPS05001987000032","NPS","KNP",20140506
"1987","HAMM 87 CMPLX","1987HAMM_CMPLX",1,"USF05161987000214","USF","STF",20041230
"1987","HASLOE 87 CMPLX","1987HASLOE_CMPLX",1,"USF05161987000213","USF","STF",20041230
"1987","HIGHROCK","1987HIGHROCK",1,"USF05091987000217","USF","MDF",20070601
"1987","HOTELLING","1987HOTELLING",2,"USF05051987000224","USF","KNF",20070601
"1987","INDIAN","1987INDIAN",1,"USF05171987000168","USF","TNF",20070604
"1987","JARREL","1987JARREL",1,"USF05161987000237","USF","STF",20041005
"1987","JEEP","1987JEEP",1,"USF05121987000000","USF","BDF",20080520
"1987","JESSIE","1987JESSIE",1,"USF05141987000286","USF","SHF",20070604
"1987","KELSEY","1987KELSEY",2,"USF05051987000273","USF","KNF",20070601
"1987","KING TITUS","1987KING_TITUS",2,"USF05051987000314","USF","KNF",20070601
"1987","LAKE","1987LAKE",2,"USF05051987000318","USF","KNF",20070329
"1987","LARSON 87 CMPLX","1987LARSON_CMPLX",1,"USF05161987000215","USF","STF",20041230
"1987","LAUDER","1987LAUDER",1,"CDF05001987000367","CDF","MEU",20080723
"1987","LAUREL","1987LAUREL",1,"USF05041987000089","USF","INF",20041005
"1987","LAZYMAN","1987LAZYMAN",1,"USF05141987000261","USF","SHF",20070308
"1987","LIGHTNING #120 (CRANK)","1987LIGHTNING120",1,"CDF05001987000273","CDF","LMU",20070601
"1987","LOST","1987LOST",1,"USF05061987000115","USF","LNF",20070601
"1987","LOST BEAR","1987LOST_BEAR",1,"NPS05001987000083","NPS","YNP",20040816
"1987","MAMMOTH","1987MAMMOTH",1,"USF05041987000067","USF","INF",20110414
"1987","MENDENHALL","1987MENDENHALL",1,"CDF05001987000311","CDF","MEU",20080516
"1987","NIELON","1987NIELON",2,"USF05051987000284","USF","KNF",20070601
"1987","PALMER","1987PALMER",1,"USF05171987000176","USF","TNF",20040213
"1987","PALOMAR","1987PALOMAR",1,"CDF05001987000955","CDF","MVU",20080520
"1987","PAPER","1987PAPER",1,"CDF05001987000750","CDF","TCU",20041230
"1987","PAPER 87 CMPLX","1987PAPER_CMPLX",1,"USF05161987000226","USF","STF",20041230
"1987","PEANUT","1987PEANUT",1,"USF05141987000281","USF","SHF",20070604
"1987","PIERCE","1987PIERCE",1,"CDF05131987000182","CDF","TUU",20110414
"1987","PLUMAS NF #531 (CLARK)","1987CLARK",1,"CDF05001987000511","CDF","BTU",20080520
"1987","QUAKING","1987QUAKING",1,"USF05091987000181","USF","MDF",20070307
"1987","RIPSTEIN","1987RIPSTEIN",1,"USF05141987000298","USF","SHF",20070308
"1987","RIVER II","1987RIVER",1,"USF05161987000181","USF","STF",20041230
"1987","RUBY FIRE","1987RUBY",1,"CCO05001987004287","CCO","LAC",20080520
"1987","SAINT CLAIRE","1987SAINT_CLAIRE",2,"USF05051987000220","USF","KNF",20070601
"1987","SILVERADO","1987SILVERADO",1,"USF05021987000100","USF","CNF",20080520
"1987","SLATER","1987SLATER",2,"USF05051987000313","USF","KNF",20070601
"1987","SLIDES","1987SLIDES",1,"USF05081987000042","USF","MNF",20070308
"1987","SNAG COMPLEX","1987SNAG_CMPLX",1,"NPS05001987000000","NPS","LNP",20140506
"1987","STRAUSE","1987STRAUSE",1,"USF05141987000302","USF","SHF",20070604
"1987","TEN BALD","1987TEN_BALD",2,"USF05051987000278","USF","KNF",20070330
"1987","THOMPSON","1987THOMPSON",2,"USF05051987000306","USF","KNF",20070601
"1987","TRAVIS","1987TRAVIS",1,"USF05101987000050","USF","SRF",20070601
"1987","TRINITY","1987TRINITY",1,"USF05141987000288","USF","SHF",20070604
"1987","TRUCK","1987TRUCK",1,"USF05121987000000","USF","BDF",20080520
"1987","WALLOW","1987WALLOW",1,"USF05141987000291","USF","SHF",20070604
"1987","YELLOW #2","1987YELLOW2",1,"USF05051987000217","USF","KNF",20070601
"1988"," ","1988USF0507198800000A",1,"USF0507198800000A","USF","LPF",20080520
"1988"," ","1988USF05131988000061",1,"USF05131988000061","USF","SQF",20080520
"1988"," ","1988USF05131988000066",1,"USF05131988000066","USF","SQF",20080520
