"PlotID","Species","Distance","Bearing","OMU","Planted","SnagDamage","DBH","TotHeight","LYHeight","LYGrowth","BudScars","Sprouts","CompType","CompCover","CompHeight","Subsample","Comments"
"B1016C","QUCH",9.5,327,"O","N","SD2","3.6",300,NA,NA,NA,3,"SC","90","110","N",NA
"B1016C","PSME",6.8,330,"U","U","SD2",NA,120,91,3,8,NA,"S","90","120","N","Split top"
"B1016C","QUCH",3.5,338,"M","N","N","1.0",163,NA,NA,NA,3,"S","70","140","N",NA
"B1016C","QUCH",2.48,288,"M","N","N","4.0",350,NA,NA,NA,1,"S","100","350","N",NA
"B1016C","QUCH",3.3,350,"U","N","N",NA,29,NA,NA,NA,NA,"GS","100","150","N","Seeded"
"B1016C","QUCH",7,60,"M","N","SD1","1.0",200,NA,NA,NA,8,"S","100","310","N","Rodent nest at base"
"B1016C","QUCH",9.69,10,"M","N","SD2","4.0",220,NA,NA,NA,4,"S","100","200","N",NA
"B1016C","QUCH",8.62,8,"M","N","N",NA,120,NA,NA,NA,3,"GS","70","90","N",NA
"B1016C","QUCH",2,4,"U","N","N",NA,99,NA,NA,NA,2,"S","100","200","N",NA
"D1000C","QUKE",8,0,"O","N",NA,"0.6",151,NA,NA,NA,2,"SG","80","65","N",NA
"D1000C","QUKE",8.5,352,"O","N",NA,"1.0",182,NA,NA,NA,2,"H","70","120","N",NA
"D1000C","QUKE",8.8,348,"O","N",NA,"1.1",175,NA,NA,NA,7,"GH","90","90","N",NA
"D1000C","QUKE",9,0,"O","N",NA,"1.5",180,NA,NA,NA,3,"GH","80","90","N",NA
"D1000C","QUCH",5.3,350,"M","N",NA,"0.2",145,NA,NA,NA,5,"S","90","130","N",NA
"D1000C","QUKE",10.78,200,"O","N",NA,NA,80,NA,NA,NA,NA,"GF","100","40","N","Seeded"
"D1000C","QUKE",9.47,216,"O","N","N",NA,77,NA,NA,NA,NA,"GF","50","40","N","Seeded"
"D1000C","QUCH",10.42,274,"O","N",NA,"1.7",230,NA,NA,NA,7,"GHSF","100","130","N",NA
"D1000C","QUCH",2,342,"O","N",NA,"1.4",169,NA,NA,NA,10,"S","40","130","N",NA
"D1000C","QUCH",4.4,127,"O","N",NA,"0.5",150,NA,NA,NA,12,"HGFS","40","150","N",NA
"D1000C","QUCH",4.1,143,"O","N",NA,"0.25",150,NA,NA,NA,7,"HGFS","70","150","N",NA
"D1000C","QUCH",10.15,267,"M","N",NA,"1.4",210,NA,NA,NA,6,"SHGF","100","140","N",NA
"D1000C","QUCH",9.81,258,"O","N",NA,"1.7",230,NA,NA,NA,8,"SHGF","100","140","N",NA
"D1000C","QUCH",2.2,42,"O","N",NA,"0.1",140,NA,NA,NA,5,"S","70","100","N",NA
"D1000C","QUCH",8.49,273,"M","N",NA,"1.4",220,NA,NA,NA,11,"SG","50","140","N",NA
"D1000C","QUCH",4.4,95,"O","N",NA,NA,120,NA,NA,NA,5,"FHGS","70","100","N",NA
"D1000C","QUCH",5.3,87,"M","N",NA,NA,130,NA,NA,NA,8,"FHGS","80","100","N",NA
"D1000C","QUCH",11,28,"O","N",NA,NA,104,NA,NA,NA,5,"S","40","120","N",NA
"D1000C","QUKE",9.79,295,"O","N",NA,NA,50,NA,NA,NA,10,"GH","60","35","N",NA
"D1000C","QUCH",9.47,316,"O","N",NA,"0.3",148,NA,NA,NA,14,"SG","50","35","N",NA
"D1000C","QUKE",9.5,56,"O","N",NA,NA,119,NA,NA,NA,6,"SG","70","95","N",NA
