"PlotID","Species","Distance","Bearing","OMU","Planted","SnagDamage","DBH","TotHeight","LYHeight","LYGrowth","BudScars","Sprouts","CompType","CompCover","CompHeight","Subsample","Comments","DistanceMetric","distance_estimate","DronePlotTree","ExpansionFactor","PlotID_6digit","SlopeDeg","Aspect","SlopeAdjustedDistance","DistanceExpansion","SlopeDistance","HorizontalDistance","DensitySlope","DensityHorizontal"
"C1023T","PSME",8.5,329,"O","Y","N",2.4,216,202,17,11,NA,"S",60,77,"N",NA,"horizontal",NA,FALSE,1,"C1023T",13.2,285,8.38062604810207,1.0142440375233,8.62107431894806,8.5,24.9409771775094,25.6178283073979
"C1023T","PIJE",11,340,"O","Y","SD2",1.7,177,159,13,9,NA,"S",30,70,"N",NA,"horizontal",NA,FALSE,1,"C1023T",13.2,285,10.9004652473565,1.009131238932,11.100443628252,11,24.9409771775094,25.6178283073979
"C1023T","ABMA",10.3,328,"O","Y","N",NA,114,110,8,11,NA,"S",20,68,"N",NA,"horizontal",NA,FALSE,1,"C1023T",13.2,285,10.1506103765391,1.01471730446932,10.451588236034,10.3,24.9409771775094,25.6178283073979
"C1020C","ABCO",6.01,224,"U","N",NA,NA,51,46,7,5,NA,"S",75,100,"N",NA,"slope",NA,FALSE,1,"C1020C",18,230,5.71914535649617,1.05085631250366,6.01,5.71914535649617,24.9409771775094,26.2244953377399
"C1020C","PILA",6.44,102,"U","N",NA,NA,72,61,5,6,NA,"S",100,104,"N",NA,"slope",NA,FALSE,1,"C1020C",18,230,6.31704963415246,1.01946325784474,6.44,6.31704963415246,24.9409771775094,26.2244953377399
"C1020T","PIJE",7.1,26,"O","Y","SD1",NA,81,61,11,9,NA,"S",20,45,"N",NA,"horizontal",NA,FALSE,1,"C1020T",14.2,156,7.00745024943993,1.0132073360874,7.19377208622052,7.1,24.9409771775094,25.7270584465717
"C1020T","PIJE",6.78,209,"O","Y","N",3.2,193,176,12,11,NA,"S",10,46,"N",NA,"slope",NA,FALSE,1,"C1020T",14.2,156,6.70223166360501,1.01160334949585,6.78,6.70223166360501,24.9409771775094,25.7270584465717
"C1020T","PIJE",5.9,34,"O","Y","SD1",2.6,186,164,22,10,NA,"S",50,102,"N",NA,"horizontal",NA,FALSE,1,"C1020T",14.2,156,5.84710532676011,1.00904630073924,5.95337317436152,5.9,24.9409771775094,25.7270584465717
"C1020T","PIJE",5.3,231,"O","Y","N",1.5,158,149,14,10,NA,"S",40,55,"N",NA,"slope",NA,FALSE,1,"C1020T",14.2,156,5.28930704083807,1.00202161815893,5.3,5.28930704083807,24.9409771775094,25.7270584465717
"C1020T","PILA",5,358,"M","Y","SD2",NA,84,67,15,7,NA,"S",60,87,"N",NA,"horizontal",NA,FALSE,1,"C1020T",14.2,156,4.86711543970966,1.02730252896945,5.13651264484726,5,24.9409771775094,25.7270584465717
"C1020T","PIJE",7.5,38,"O","Y","SD1",2.8,195,171,20,9,NA,"S",10,80,"N",NA,"horizontal",NA,FALSE,1,"C1020T",14.2,156,7.44677216286977,1.0071477730171,7.55360829762822,7.5,24.9409771775094,25.7270584465717
"C1020T","PIJE",10.06,280,"O","Y","N",2.1,172,155,14,10,NA,"S",20,35,"N","Distance with tape","slope","yes",FALSE,1,"C1020T",14.2,156,9.95992227460835,1.01004804280921,10.06,9.95992227460835,24.9409771775094,25.7270584465717
"C1020T","PIPO",4.1,94,"O","Y","N",5.8,320,305,24,9,NA,"S",40,77,"N","Distance with tape","slope","yes",FALSE,1,"C1020T",14.2,156,4.07090211570214,1.0071477730171,4.1,4.07090211570214,24.9409771775094,25.7270584465717
"C1020T","PIJE",2,94,"O","Y","SD1",2.2,183,171,27,8,NA,"S",65,102,"N",NA,"horizontal",NA,FALSE,1,"C1020T",14.2,156,1.98580591009861,1.0071477730171,2.01429554603419,2,24.9409771775094,25.7270584465717
"C1020T","PIJE",3.4,332,"O","Y","N",3.1,190,159,25,7,NA,"S",40,58,"N",NA,"horizontal",NA,FALSE,1,"C1020T",14.2,156,3.29662762060207,1.03135700822013,3.50661382794845,3.4,24.9409771775094,25.7270584465717
"C1020T","PIJE",3.17,130,"O","Y","N",2,157,148,21,9,NA,"S",75,70,"N",NA,"slope",NA,FALSE,1,"C1020T",14.2,156,3.09066390757404,1.02566959552979,3.17,3.09066390757404,24.9409771775094,25.7270584465717
"C1020T","PIJE",4.5,308,"O","Y","N",4.5,223,203,53,9,NA,"S",10,22,"N",NA,"horizontal",NA,FALSE,1,"C1020T",14.2,156,4.39119523942034,1.0247779373604,4.61150071812181,4.5,24.9409771775094,25.7270584465717
"C1020T","ABMA",7.75,349,"O","Y","N",NA,114,108,12,10,NA,"S",10,40,"N",NA,"slope",NA,FALSE,1,"C1020T",14.2,156,7.52536316301246,1.0298506307432,7.75,7.52536316301246,24.9409771775094,25.7270584465717
"C1020T","PIJE",10.28,124,"O","Y","N",1,144,132,23,9,NA,"S",30,23,"N",NA,"slope",NA,FALSE,1,"C1020T",14.2,156,10.0501748486669,1.02286777641123,10.28,10.0501748486669,24.9409771775094,25.7270584465717
"C1020T","PIPO",8.99,112,"O","Y","N",5,249,215,20,10,NA,"S",40,64,"N",NA,"slope",NA,FALSE,1,"C1020T",14.2,156,8.84413756892524,1.01649255565486,8.99,8.84413756892524,24.9409771775094,25.7270584465717
"C1020T","PIJE",5.6,336,"O","Y","N",3,161,130,27,8,NA,"S",30,56,"N",NA,"horizontal",NA,FALSE,1,"C1020T",14.2,156,5.42889395941278,1.03151766121542,5.77649890280636,5.6,24.9409771775094,25.7270584465717
"C1020T","PIJE",10.6,322,"O","Y","N",2.2,167,144,28,8,NA,"S",5,49,"N",NA,"horizontal",NA,FALSE,1,"C1020T",14.2,156,10.2953568452383,1.02959034439904,10.9136576506299,10.6,24.9409771775094,25.7270584465717
