"","type","tier","id","lat","long","t2_opt","t3_opt","elev1","rad1","elev2","rad2","year","cat","seed"
"186","C",1,"A1103C","40.200676","-120.684612",NA,NA,"3","1","2","1","3",1,"N"
"187","C",1,"A1105C","40.203801","-120.677201",NA,NA,"1","2","1","1","3",1,"F"
"188","C",1,"A1106C","40.194320","-120.677480",NA,NA,"2","2","2","1","3",1,"N"
"189","C",1,"A1109C","40.200385","-120.676789",NA,NA,"1","2","2","2","3",1,"N"
"190","C",1,"A1110C","40.194466","-120.665542",NA,NA,"2","1","1","2","3",1,"F"
"191","C",1,"A1112C","40.195726","-120.664401",NA,NA,"1","1","2","1","3",1,"F"
"192","C",1,"A1118C","40.230311","-120.658034",NA,NA,"1","2","1","2","3",1,"F"
"193","C",1,"A1124C","40.190099","-120.644273",NA,NA,"1","1","1","2","3",1,"F"
"194","C",1,"A1126C","40.159960","-120.680173",NA,NA,"2","1","1","2","3",1,"N"
"195","C",1,"A1127C","40.160977","-120.679222",NA,NA,"1","1","2","1","3",1,"N"
"196","C",1,"A1129C","40.179301","-120.664709",NA,NA,"4","2","1","2","3",2,"N"
"197","C",1,"A1132C","40.162194","-120.659430",NA,NA,"2","2","2","2","3",1,"N"
"198","C",1,"A1133C","40.161043","-120.653118",NA,NA,"2","1","2","2","3",1,"N"
"199","C",1,"A1136C","40.153801","-120.650366",NA,NA,"3","3","1","2","3",2,"N"
"200","C",1,"A1137C","40.185440","-120.649891",NA,NA,"2","2","1","1","3",1,"F"
"201","C",1,"A1141C","40.158654","-120.618173",NA,NA,"2","2","1","2","3",2,"N"
"202","C",1,"A1145C","40.135572","-120.626027",NA,NA,"1","2","2","2","3",2,"N"
